team,seed,bpi,qual_win,qual_loss,qual_win_perc,schdl_strngth
Gonzaga,1,20.5,9,4,0.69,74
Georgia State,16,1.4,0,2,0,212
Boise State,8,8,3,1,0.75,102
Memphis,9,11.8,4,3,0.57,60
UConn,5,13.3,7,6,0.54,50
New Mexico State,12,3.9,1,1,0.5,177
Arkansas,4,12.8,11,7,0.61,32
Vermont,13,10,0,2,0,287
Alabama,6,11.6,9,9,0.5,1
Notre Dame,11,9.8,4,9,0.31,54
Texas Tech,3,16.5,12,8,0.6,15
Montana State,14,0.1,0,1,0,343
Michigan State,7,10.3,7,10,0.41,8
Davidson,10,9.1,1,3,0.25,115
Duke,2,16.8,11,5,0.69,38
Cal State Fullerton,15,-0.4,0,2,0,281
Baylor,1,17.9,10,7,0.59,14
Norfolk State,16,1,0,2,0,341
North Carolina,8,13.3,7,9,0.44,19
Marquette,9,8,8,7,0.53,27
Saint Mary's,5,11.8,5,5,0.5,75
Indiana,12,10,6,10,0.38,31
UCLA,4,16.2,5,5,0.5,53
Akron,13,4.2,0,2,0,253
Texas,6,13.9,8,10,0.44,13
Virginia Tech,11,13.2,5,9,0.36,46
Purdue,3,16.4,11,6,0.65,26
Yale,14,0.7,0,5,0,152
Murray State,7,10.3,2,1,0.67,229
San Francisco,10,10.6,1,7,0.13,91
Kentucky,2,17.7,10,7,0.59,22
Saint Peter's,15,4.8,3,3,0.5,116
Arizona,1,17.6,7,3,0.7,69
Wright State,16,0.8,0,2,0,291
Seton Hall,8,9.6,6,8,0.43,39
TCU,9,10.5,9,9,0.5,4
Houston,5,19.8,5,5,0.5,71
UAB,12,9.2,0,2,0,157
Illinois,4,13.9,9,6,0.6,16
Chattanooga,13,8,0,2,0,138
Colorado State,6,6.4,3,3,0.5,107
Michigan,11,11.4,7,12,0.37,2
Tennessee,3,18,12,8,0.6,5
Longwood,14,1.8,0,2,0,330
Ohio State,7,11.5,8,8,0.5,18
Loyola (IL),10,11.2,1,3,0.25,110
Villanova,2,17.6,15,5,0.75,10
Delaware,15,1.1,0,1,0,181
Kansas,1,17.6,16,6,0.73,9
Texas Southern,16,-0.4,1,2,0.33,205
San Diego State,8,10.6,1,2,0.33,92
Creighton,9,7.8,7,8,0.47,37
Iowa,5,15.5,6,6,0.5,47
Richmond,12,7,2,3,0.4,84
Providence,4,10.7,9,3,0.75,55
South Dakota State,13,7.8,0,2,0,249
LSU,6,14,8,8,0.5,28
Iowa State,11,9.1,10,11,0.48,11
Wisconsin,3,10.9,11,5,0.69,20
Colgate,14,3.7,0,3,0,282
USC,7,9.8,2,5,0.29,80
Miami (FL),10,9.1,7,6,0.54,34
Auburn,2,15.6,10,6,0.63,43
Jacksonville State,15,2.3,0,2,0,256
