team,seed,bpi,qual_win,qual_loss,qual_win_perc,schdl_strngth
Duke,1,21.3,16,6,0.73,6
North Dakota State,16,-1.5,0,3,0,165
VCU,8,10,1,2,0.33,98
UCF,9,10.5,3,3,0.5,71
Mississippi State,5,12.9,6,6,0.5,30
Liberty,12,7.5,3,2,0.6,204
Virginia Tech,4,16.5,4,9,0.31,37
Saint Louis,13,4.5,0,4,0,95
Maryland,6,12,10,9,0.53,24
Belmont,11,9.4,3,3,0.5,147
LSU,3,12.7,7,5,0.58,39
Yale,14,6.4,0,2,0,152
Louisville,7,13.4,6,11,0.35,10
Minnesota,10,8.1,9,11,0.45,13
Michigan State,2,19.8,19,6,0.76,1
Bradley,15,-0.4,1,1,0.5,226
Gonzaga,1,23.1,6,4,0.6,74
Fairleigh Dickinson,16,-1.5,0,1,0,318
Syracuse,8,10.5,4,11,0.27,33
Baylor,9,10.3,9,9,0.5,27
Marquette,5,11.5,6,5,0.55,59
Murray State,12,9,2,3,0.4,193
Florida State,4,14.6,12,6,0.67,19
Vermont,13,7.9,0,4,0,220
Buffalo,6,12.6,1,2,0.33,100
Arizona State,11,7.4,4,4,0.5,70
Texas Tech,3,18.8,15,6,0.71,22
Northern Kentucky,14,5,0,3,0,254
Nevada,7,12.9,1,2,0.33,121
Florida,10,11.6,3,13,0.19,15
Michigan,2,17.8,13,7,0.65,17
Montana,15,3,0,2,0,263
Virginia,1,23.2,18,3,0.86,11
Gardner-Webb,16,2,0,3,0,205
Ole Miss,8,8.7,4,8,0.33,50
Oklahoma,9,10.6,7,12,0.37,7
Wisconsin,5,14.3,11,9,0.55,4
Oregon,12,11.6,2,4,0.33,66
Kansas State,4,12.7,11,6,0.65,32
UC Irvine,13,5.5,2,2,0.5,213
Villanova,6,12.5,5,4,0.56,52
Saint Mary's,11,10.4,1,6,0.14,77
Purdue,3,17.4,15,7,0.68,3
Old Dominion,14,3.6,2,1,0.67,235
Cincinnati,7,11.8,2,6,0.25,65
Iowa,10,10.5,9,10,0.47,25
Tennessee,2,17.1,9,6,0.6,31
Colgate,15,2.6,0,3,0,225
North Carolina,1,18.9,12,7,0.63,5
Iona,16,-0.8,0,2,0,274
Utah State,8,8.9,2,2,0.5,115
Washington,9,8.7,2,6,0.25,64
Auburn,5,16.4,9,7,0.56,20
New Mexico State,12,7.9,0,3,0,270
Kansas,4,14.2,15,8,0.65,2
Northeastern,13,5,0,3,0,111
Iowa State,6,14.5,9,10,0.47,28
Ohio State,11,9.8,8,12,0.4,14
Houston,3,15.9,7,3,0.7,76
Georgia State,14,3.5,0,3,0,122
Wofford,7,14.3,0,5,0,94
Seton Hall,10,7.7,7,6,0.54,38
Kentucky,2,18.3,12,5,0.71,18
Abilene Christian,15,1,0,2,0,347
