team,seed,bpi,qual_win,qual_loss,qual_win_perc,schdl_strngth
Kansas,1,18.5,14,4,0.78,10
Austin Peay,16,-3.3,0,3,0,224
Colorado,8,8.7,4,8,0.33,75
UConn,9,13.5,4,7,0.36,51
Maryland,5,13.3,6,8,0.43,35
South Dakota State,12,6.3,0,1,0,221
California,4,11.8,4,5,0.44,72
Hawaii,13,2.9,1,2,0.33,163
Arizona,6,14.8,2,5,0.29,78
Wichita State,11,14.4,3,3,0.5,103
Miami (FL),3,13.5,14,5,0.74,5
Buffalo,14,1.8,0,4,0,111
Iowa,7,12.9,8,8,0.5,19
Temple,10,5.9,5,7,0.42,54
Villanova,2,19.9,11,4,0.73,27
UNC Asheville,15,2.7,0,2,0,249
Oregon,1,13,9,2,0.82,60
Holy Cross,16,-7.7,0,2,0,260
Saint Joseph's,8,8.7,7,4,0.64,80
Cincinnati,9,13,5,5,0.5,68
Baylor,5,11.8,6,11,0.35,14
Yale,12,10.5,2,4,0.33,105
Duke,4,15.6,8,11,0.42,8
UNC Wilmington,13,4.3,0,1,0,176
Texas,6,9.6,7,9,0.44,4
Northern Iowa,11,6,6,3,0.67,91
Texas A&M,3,13,8,4,0.67,56
Green Bay,14,1.3,1,4,0.2,134
Oregon State,7,6.8,3,8,0.27,42
VCU,10,10.6,1,7,0.13,88
Oklahoma,2,14.9,13,6,0.68,2
Cal State Bakersfield,15,2.2,0,2,0,285
North Carolina,1,18.7,14,5,0.74,11
Florida Gulf Coast,16,-1,0,3,0,301
USC,8,7.3,3,7,0.3,63
Providence,9,7.4,7,8,0.47,30
Indiana,5,15.8,9,5,0.64,59
Chattanooga,12,4.2,1,2,0.33,239
Kentucky,4,16.2,6,4,0.6,41
Stony Brook,13,8.1,1,3,0.25,214
Notre Dame,6,11,9,9,0.5,6
Michigan,11,10.4,4,12,0.25,25
West Virginia,3,16.5,6,9,0.4,13
Stephen F. Austin,14,9.5,1,2,0.33,275
Wisconsin,7,9.8,9,7,0.56,18
Pittsburgh,10,12.3,6,9,0.4,26
Xavier,2,14.1,8,5,0.62,55
Weber State,15,2.8,0,2,0,318
Virginia,1,18.6,15,6,0.71,1
Hampton,16,-5.7,0,3,0,279
Texas Tech,8,7.9,4,10,0.29,21
Butler,9,12.1,5,7,0.42,38
Purdue,5,15.9,9,7,0.56,37
Little Rock,12,8.1,1,1,0.5,152
Iowa State,4,12.8,5,10,0.33,7
Iona,13,4.2,0,2,0,138
Seton Hall,6,11,6,8,0.43,39
Gonzaga,11,12.5,6,7,0.46,89
Utah,3,10.1,5,7,0.42,47
Fresno State,14,2.5,0,3,0,110
Dayton,7,9,4,2,0.67,90
Syracuse,10,11,8,12,0.4,12
Michigan State,2,18.6,9,4,0.69,53
Middle Tennessee State,15,1.3,1,2,0.33,185
