team,seed,bpi,qual_win,qual_loss,qual_win_perc,schdl_strngth
Alabama,1,18.9,15,5,0.75,12
Texas A&M-CC,16,-2,0,4,0,330
Maryland,8,12,8,10,0.44,28
West Virginia,9,12.1,6,13,0.32,5
San Diego State,5,12.6,8,5,0.62,52
Charleston,12,8.2,0,2,0,299
Virginia,4,11.9,6,4,0.6,59
Furman,13,5,1,3,0.25,250
Creighton,6,14.5,6,9,0.4,18
NC State,11,9.6,3,6,0.33,67
Baylor,3,13.8,10,11,0.48,6
UC Santa Barbara,14,2.3,0,1,0,295
Missouri,7,8.2,9,8,0.53,40
Utah State,10,9.4,2,4,0.33,91
Arizona,2,14.2,8,2,0.8,51
Princeton,15,4.5,1,1,0.5,133
Purdue,1,15.4,16,5,0.76,29
Fairleigh Dickinson,16,-4.6,1,1,0.5,350
Memphis,8,11.5,7,5,0.58,54
Florida Atlantic,9,11,3,1,0.75,110
Duke,5,13,9,6,0.6,43
Oral Roberts,12,5.7,1,4,0.2,259
Tennessee,4,18.3,9,6,0.6,38
Louisiana,13,4.6,0,2,0,167
Kentucky,6,12.5,7,7,0.5,31
Providence,11,10.4,3,9,0.25,46
Kansas State,3,11.4,11,7,0.61,22
Montana State,14,3.4,0,3,0,207
Michigan State,7,10.8,10,11,0.48,4
USC,10,8.6,2,6,0.25,62
Marquette,2,13.6,8,6,0.57,34
Vermont,15,4.2,0,2,0,153
Houston,1,20.5,11,3,0.79,77
Northern Kentucky,16,1.4,1,2,0.33,216
Iowa,8,10.8,10,9,0.53,17
Auburn,9,11.6,5,10,0.33,20
Miami (FL),5,11.5,10,5,0.67,41
Drake,12,8.6,1,1,0.5,169
Indiana,4,12.3,10,12,0.45,13
Kent State,13,7.1,0,3,0,158
Iowa State,6,11.6,9,10,0.47,3
Pittsburgh,11,8.3,8,5,0.62,69
Xavier,3,12.5,9,7,0.56,25
Kennesaw State,14,2.1,2,3,0.4,161
Texas A&M,7,11.7,6,7,0.46,49
Penn State,10,10.2,11,8,0.58,14
Texas,2,16.8,16,8,0.67,7
Colgate,15,4.3,0,2,0,307
Kansas,1,14.7,15,8,0.65,1
Howard,16,-3.1,0,2,0,281
Arkansas,8,12.6,6,11,0.35,19
Illinois,9,11.1,6,12,0.33,30
Saint Mary's,5,12.2,2,4,0.33,89
VCU,12,8.7,0,2,0,113
UConn,4,18.9,13,6,0.68,16
Iona,13,8.7,0,1,0,258
TCU,6,11.6,9,11,0.45,10
Arizona State,11,7.7,3,6,0.33,55
Gonzaga,3,14.9,8,5,0.62,66
Grand Canyon,14,5,2,1,0.67,147
Northwestern,7,10.4,10,9,0.53,24
Boise State,10,9.2,3,4,0.43,81
UCLA,2,17.8,7,5,0.58,47
UNC Asheville,15,1.3,1,2,0.33,251
