team,seed,bpi,qual_win,qual_loss,qual_win_perc,schdl_strngth
Virginia,1,20.2,17,2,0.89,32
UMBC,16,0.7,1,3,0.25,168
Creighton,8,12.2,3,10,0.23,48
Kansas State,9,9.2,9,11,0.45,31
Kentucky,5,12.9,8,9,0.47,16
Davidson,12,10.7,2,5,0.29,86
Arizona,4,11.9,3,2,0.6,72
Buffalo,13,6.7,1,4,0.2,145
Miami (FL),6,10.6,8,7,0.53,53
Loyola (IL),11,9.6,5,1,0.83,119
Tennessee,3,14.4,7,7,0.5,17
Wright State,14,1.7,0,2,0,234
Nevada,7,11.2,4,3,0.57,82
Texas,10,10,6,14,0.3,2
Cincinnati,2,18.5,3,5,0.38,74
Georgia State,15,4.4,0,1,0,258
Xavier,1,14.7,10,4,0.71,40
Texas Southern,16,-3.6,0,8,0,109
Missouri,8,9.1,4,7,0.36,54
Florida State,9,11.5,10,9,0.53,20
Ohio State,5,13.8,4,9,0.31,35
South Dakota State,12,5.9,0,3,0,159
Gonzaga,4,15.4,5,4,0.56,90
UNC Greensboro,13,6.1,1,2,0.33,179
Houston,6,13.4,4,4,0.5,67
San Diego State,11,8.8,3,3,0.5,93
Michigan,3,15.1,12,5,0.71,28
Montana,14,3.7,0,2,0,246
Texas A&M,7,10.8,7,8,0.47,6
Providence,10,7.7,7,11,0.39,22
North Carolina,2,16.1,15,10,0.6,1
Lipscomb,15,-0.2,0,4,0,169
Villanova,1,22.8,16,2,0.89,11
Radford,16,0.1,0,4,0,193
Virginia Tech,8,11.2,6,10,0.38,43
Alabama,9,8.6,9,10,0.47,15
West Virginia,5,15.8,13,9,0.59,12
Murray State,12,7.6,0,3,0,249
Wichita State,4,14.2,4,5,0.44,68
Marshall,13,3.1,3,2,0.6,115
Florida,6,12.1,9,7,0.56,18
St. Bonaventure,11,8,4,5,0.44,80
Texas Tech,3,15.1,13,8,0.62,7
Stephen F. Austin,14,3.5,0,2,0,328
Arkansas,7,10,6,9,0.4,36
Butler,10,12.4,7,11,0.39,5
Purdue,2,19,11,5,0.69,34
Cal State Fullerton,15,-0.7,0,2,0,211
Kansas,1,16.5,19,5,0.79,3
Pennsylvania,16,4.2,0,2,0,254
Seton Hall,8,11.7,6,10,0.38,19
NC State,9,9.2,9,8,0.53,51
Clemson,5,14,9,9,0.5,14
New Mexico State,12,6.9,2,2,0.5,173
Auburn,4,12.2,5,4,0.56,65
Charleston,13,3.3,0,3,0,240
TCU,6,12.3,6,11,0.35,26
Syracuse,11,9.4,8,10,0.44,24
Michigan State,3,17.8,6,5,0.55,60
Bucknell,14,6.4,0,4,0,175
Rhode Island,7,10.5,3,5,0.38,77
Oklahoma,10,9.4,7,10,0.41,4
Duke,2,19.8,14,6,0.7,8
Iona,15,3.1,0,3,0,176
