team,seed,bpi,qual_win,qual_loss,qual_win_perc,schdl_strngth
Florida,1,19.2,13,3,0.81,16
Albany,16,-1,0,2,0,231
Colorado,8,6.7,5,10,0.33,48
Pittsburgh,9,15.4,5,9,0.36,45
VCU,5,13,5,5,0.5,83
Stephen F. Austin,12,5.5,1,1,0.5,331
UCLA,4,13.8,5,5,0.5,58
Tulsa,13,4.2,1,6,0.14,115
Ohio State,6,13.8,5,5,0.5,53
Dayton,11,8.6,6,4,0.6,76
Syracuse,3,14.3,10,3,0.77,47
Western Michigan,14,2.8,0,2,0,164
New Mexico,7,9.1,3,3,0.5,94
Stanford,10,7.4,8,8,0.5,19
Kansas,2,15.8,11,5,0.69,2
Eastern Kentucky,15,4,0,3,0,235
Virginia,1,16.4,12,6,0.67,12
Coastal Carolina,16,-1.8,0,2,0,293
Memphis,8,10,6,9,0.4,55
George Washington,9,9.1,4,6,0.4,74
Cincinnati,5,12.1,6,7,0.46,78
Harvard,12,11.8,1,2,0.33,147
Michigan State,4,15.4,9,7,0.56,5
Delaware,13,4.1,0,4,0,129
North Carolina,6,12,9,5,0.64,17
Providence,11,8.8,6,10,0.38,23
Iowa State,3,12.9,9,5,0.64,7
North Carolina Central,14,6.9,0,4,0,300
UConn,7,12.7,12,6,0.67,27
Saint Joseph's,10,7.4,6,6,0.5,77
Villanova,2,16.2,10,4,0.71,39
Milwaukee,15,0.5,0,2,0,149
Arizona,1,17.7,11,4,0.73,24
Weber State,16,2.4,0,2,0,273
Gonzaga,8,12.8,2,3,0.4,98
Oklahoma State,9,14.4,3,10,0.23,38
Oklahoma,5,9.5,5,7,0.42,31
North Dakota State,12,9.2,1,2,0.33,143
San Diego State,4,13.3,4,4,0.5,87
New Mexico State,13,7,1,4,0.2,195
Baylor,6,11,7,8,0.47,28
Nebraska,11,5.7,3,9,0.25,13
Creighton,3,14.8,8,8,0.5,35
Louisiana,14,3.1,1,4,0.2,155
Oregon,7,11.4,5,5,0.5,62
Brigham Young,10,7.6,1,8,0.11,89
Wisconsin,2,15.8,11,4,0.73,3
American University,15,1.6,0,2,0,211
Wichita State,1,14.6,2,1,0.67,154
Cal Poly,16,-2.1,0,4,0,112
Kentucky,8,14.9,7,8,0.47,4
Kansas State,9,8.4,6,9,0.4,42
Saint Louis,5,9.9,4,5,0.44,92
NC State,12,6.2,6,10,0.38,32
Louisville,4,20.1,7,6,0.54,95
Manhattan,13,6.9,0,2,0,168
Massachusetts,6,9.1,5,5,0.5,72
Tennessee,11,14.5,5,7,0.42,34
Duke,3,18.8,9,6,0.6,22
Mercer,14,6.9,1,2,0.33,218
Texas,7,8.3,7,8,0.47,21
Arizona State,10,10.1,3,5,0.38,65
Michigan,2,15.7,8,7,0.53,1
Wofford,15,-0.4,0,3,0,225
