team,seed,bpi,qual_win,qual_loss,qual_win_perc,schdl_strngth
Villanova,1,20.3,10,4,0.71,34
Mount St. Mary's,16,-1.9,0,6,0,149
Wisconsin,8,15,10,8,0.56,24
Virginia Tech,9,8.8,8,9,0.47,26
Virginia,5,17.2,6,9,0.4,6
UNC Wilmington,12,7.6,0,3,0,142
Florida,4,18.1,7,9,0.44,9
East Tennessee State,13,6.1,0,2,0,175
Southern Methodist,6,15.5,5,2,0.71,80
USC,11,7.8,3,7,0.3,69
Baylor,3,15.1,13,8,0.62,10
New Mexico State,14,3.9,0,1,0,324
South Carolina,7,11.4,8,6,0.57,39
Marquette,10,10.8,6,6,0.5,36
Duke,2,17.7,15,7,0.68,8
Troy,15,2,0,1,0,207
Gonzaga,1,20.4,10,1,0.91,82
South Dakota State,16,-1,0,2,0,180
Northwestern,8,9.4,6,9,0.4,43
Vanderbilt,9,10.2,6,10,0.38,22
Notre Dame,5,13.9,9,9,0.5,14
Princeton,12,8.3,0,2,0,140
West Virginia,4,17.6,12,7,0.63,25
Bucknell,13,5.2,1,3,0.25,213
Maryland,6,8.9,7,5,0.58,58
Xavier,11,10.4,6,11,0.35,13
Florida State,3,13.9,11,6,0.65,29
Florida Gulf Coast,14,5.4,0,4,0,221
Saint Mary's,7,16.6,3,4,0.43,104
VCU,10,9.7,2,5,0.29,83
Arizona,2,14.7,5,5,0.5,67
North Dakota,15,1.4,0,1,0,302
Kansas,1,18.4,16,5,0.76,11
UC Davis,16,-2.9,0,1,0,299
Miami (FL),8,10.7,5,11,0.31,23
Michigan State,9,9.7,7,10,0.41,16
Iowa State,5,14.7,14,9,0.61,2
Nevada,12,9,0,2,0,155
Purdue,4,16.1,10,6,0.63,40
Vermont,13,9,0,4,0,203
Creighton,6,12,5,7,0.42,45
Rhode Island,11,10.4,4,5,0.44,73
Oregon,3,17.4,5,4,0.56,61
Iona,14,1.2,1,3,0.25,156
Michigan,7,15.6,12,7,0.63,19
Oklahoma State,10,12.4,8,11,0.42,4
Louisville,2,17.8,10,9,0.53,7
Jacksonville State,15,-0.2,0,2,0,204
North Carolina,1,19.4,16,6,0.73,5
Texas Southern,16,-0.9,0,6,0,146
Arkansas,8,9.6,4,8,0.33,54
Seton Hall,9,8.4,6,9,0.4,27
Minnesota,5,9.8,7,7,0.5,47
Middle Tennessee State,12,9.5,2,2,0.5,187
Butler,4,13.3,13,4,0.76,18
Winthrop,13,3.7,0,3,0,283
Cincinnati,6,14.8,6,5,0.55,75
Kansas State,11,10.2,7,11,0.39,15
UCLA,3,16.8,5,4,0.56,70
Kent State,14,1.4,0,1,0,193
Dayton,7,10.2,4,4,0.5,84
Wichita State,10,15.7,1,4,0.2,116
Kentucky,2,17.5,10,5,0.67,31
Northern Kentucky,15,-0.2,0,2,0,271
