year,round,team_x,team_y,diff_seed,diff_bpi,diff_qual_win,diff_qual_loss,diff_qual_win_perc,diff_schdl_strength,diff_dist,location,team_x_win,team
2023,32,Kentucky,Kansas State,3,1.1,-4,0,-0.11,9,-653.1536125,"Greensboro, NC",FALSE,Kansas State
2023,32,Michigan State,Marquette,5,-2.8,2,5,-0.09,-30,-128.1451445,"Columbus, OH",TRUE,Michigan State
2023,32,Houston,Auburn,-8,8.9,6,-7,0.46,57,469.0378487,"Birmingham, AL",TRUE,Houston
2023,32,Miami (FL),Indiana,1,-0.8,0,-7,0.22,28,522.26581,"Albany, NY",TRUE,Miami (FL)
2023,32,Pittsburgh,Xavier,8,-4.2,-1,-2,0.06,44,-31.13610775,"Greensboro, NC",FALSE,Xavier
2023,32,Penn State,Texas,8,-6.6,-5,0,-0.09,7,7.590149825,"Des Moines, IA",FALSE,Texas
2023,32,Kansas,Arkansas,-7,2.1,9,-3,0.3,-18,-180.9970364,"Des Moines, IA",FALSE,Arkansas
2023,32,Saint Mary's,UConn,1,-6.7,-11,-2,-0.35,73,2438.79999,"Albany, NY",FALSE,UConn
2023,32,TCU,Gonzaga,3,-3.3,1,6,-0.17,-56,-191.3679578,"Denver, CO",FALSE,Gonzaga
2023,32,Northwestern,UCLA,5,-7.4,3,4,-0.05,-23,1433.888416,"Sacramento, CA",FALSE,UCLA
2023,16,Alabama,San Diego State,-4,6.3,7,0,0.13,-40,-1444.28659,"Louisville, KY",FALSE,San Diego State
2023,16,Creighton,Princeton,-9,10,5,8,-0.1,-115,-13.64452151,"Louisville, KY",TRUE,Creighton
2023,16,Florida Atlantic,Tennessee,5,-7.3,-6,-5,0.15,72,417.9478176,"New York, NY",TRUE,Florida Atlantic
2023,16,Kansas State,Michigan State,-4,0.6,1,-4,0.13,18,641.0222285,"New York, NY",TRUE,Kansas State
2023,16,Houston,Miami (FL),-4,9,1,-2,0.12,36,-597.0213262,"Kansas City, MO",FALSE,Miami (FL)
2023,16,Xavier,Texas,1,-4.3,-7,-1,-0.11,18,-97.84534995,"Kansas City, MO",FALSE,Texas
2023,16,Arkansas,UConn,4,-6.3,-7,5,-0.33,3,-1142.758981,"Las Vegas, NV",FALSE,UConn
2023,16,Gonzaga,UCLA,1,-2.9,1,0,0.04,19,568.3483162,"Las Vegas, NV",TRUE,Gonzaga
2023,8,San Diego State,Creighton,-1,-1.9,2,-4,0.22,34,1208.212299,"Louisville, KY",TRUE,San Diego State
2023,8,Florida Atlantic,Kansas State,6,-0.4,-8,-6,0.14,88,-152.0121101,"New York, NY",TRUE,Florida Atlantic
2023,8,Miami (FL),Texas,3,-5.3,-6,-3,0,34,607.9644169,"Kansas City, MO",TRUE,Miami (FL)
2023,8,UConn,Gonzaga,1,4,5,1,0.06,-50,1520.294855,"Las Vegas, NV",TRUE,UConn
2023,4,San Diego State,Florida Atlantic,-4,1.6,5,4,-0.13,-58,338.1097379,"Houston, TX",TRUE,San Diego State
2023,4,Miami (FL),UConn,1,-7.4,-3,-1,-0.01,25,-567.2189211,"Houston, TX",FALSE,UConn
2023,2,San Diego State,UConn,1,-6.3,-5,-1,-0.06,36,-234.6820737,"Houston, TX",FALSE,UConn
2022,64,Gonzaga,Georgia State,-15,19.1,9,2,0.69,-138,-1879.581881,"Portland, OR",TRUE,Gonzaga
