year,round,team_x,team_y,seed.x,bpi.x,qual_win.x,qual_loss.x,qual_win_perc.x,schdl_strngth.x,seed.y,bpi.y,qual_win.y,qual_loss.y,qual_win_perc.y,schdl_strngth.y,location,team_x_win,team
2024,64,UConn,Stetson,1,22.7,19,2,0.9,13,16,-1.4,0,3,0,212,"Brooklyn, NY",TRUE,UConn
2024,64,Florida Atlantic,Northwestern,8,11,3,2,0.6,89,9,10.3,7,9,0.44,33,"Brooklyn, NY",FALSE,Northwestern
2024,64,San Diego State,UAB,5,11.1,3,6,0.33,75,12,3.7,1,3,0.25,103,"Spokane, WA",TRUE,San Diego State
2024,64,Auburn,Yale,4,18.5,6,6,0.5,61,13,7.6,1,3,0.25,107,"Spokane, WA",FALSE,Yale
2024,64,Brigham Young,Duquesne,6,13.5,7,8,0.47,52,11,5.9,2,4,0.33,87,"Omaha, NE",FALSE,Duquesne
2024,64,Illinois,Morehead State,3,16.3,12,7,0.63,18,14,5,0,4,0,280,"Omaha, NE",TRUE,Illinois
2024,64,Washington State,Drake,7,10.1,5,5,0.5,80,10,8.8,2,2,0.5,134,"Omaha, NE",TRUE,Washington State
2024,64,Iowa State,South Dakota State,2,18.2,13,7,0.65,21,15,1,0,1,0,282,"Omaha, NE",TRUE,Iowa State
2024,64,North Carolina,Wagner,1,17,12,6,0.67,17,16,-5.5,0,2,0,315,"Charlotte, NC",TRUE,North Carolina
2024,64,Mississippi State,Michigan State,8,11.1,5,9,0.36,29,9,13.8,5,12,0.29,11,"Charlotte, NC",FALSE,Michigan State
2024,64,Saint Mary's,Grand Canyon,5,14,3,4,0.43,109,12,9,2,1,0.67,177,"Spokane, WA",FALSE,Grand Canyon
2024,64,Alabama,Charleston,4,16.2,8,12,0.4,2,13,5.5,0,2,0,176,"Spokane, WA",TRUE,Alabama
2024,64,Clemson,New Mexico,6,12.9,9,6,0.6,26,11,9.1,3,5,0.38,92,"Memphis, TN",TRUE,Clemson
2024,64,Baylor,Colgate,3,15.1,11,10,0.52,5,14,3.8,0,3,0,229,"Memphis, TN",TRUE,Baylor
2024,64,Dayton,Nevada,7,11.5,2,3,0.4,82,10,8.8,3,5,0.38,95,"Salt Lake City, UT",TRUE,Dayton
2024,64,Arizona,Long Beach State,2,18.2,9,5,0.64,53,15,-0.6,0,2,0,213,"Salt Lake City, UT",TRUE,Arizona
2024,64,Houston,Longwood,1,23,16,5,0.76,12,16,1,0,2,0,251,"Memphis, TN",TRUE,Houston
2024,64,Nebraska,Texas A&M,8,10.7,5,8,0.38,59,9,11.5,8,7,0.53,15,"Memphis, TN",FALSE,Texas A&M
2024,64,Wisconsin,James Madison,5,13.3,10,9,0.53,3,12,8.9,2,1,0.67,223,"Brooklyn, NY",FALSE,James Madison
2024,64,Duke,Vermont,4,17.9,8,7,0.53,44,13,6.2,0,2,0,191,"Brooklyn, NY",TRUE,Duke
2024,64,Texas Tech,NC State,6,11.7,7,9,0.44,35,11,10.1,7,10,0.41,28,"Pittsburgh, PA",FALSE,NC State
2024,64,Kentucky,Oakland,3,12.6,7,6,0.54,63,14,2.6,1,5,0.17,132,"Pittsburgh, PA",FALSE,Oakland
2024,64,Florida,Colorado,7,12.1,7,8,0.47,32,10,9.7,6,5,0.55,74,"Indianapolis, IN",FALSE,Colorado
2024,64,Marquette,Western Kentucky,2,15.3,12,8,0.6,9,15,0.6,0,1,0,281,"Indianapolis, IN",TRUE,Marquette
2024,64,Purdue,Grambling State,1,20.3,17,5,0.77,1,16,-6.4,0,6,0,188,"Indianapolis, IN",TRUE,Purdue
2024,64,Utah State,TCU,8,7.4,5,4,0.56,91,9,11.4,6,10,0.38,37,"Indianapolis, IN",TRUE,Utah State
2024,64,Gonzaga,McNeese State,5,14.9,3,6,0.33,84,12,8.5,0,1,0,326,"Salt Lake City, UT",TRUE,Gonzaga
2024,64,Kansas,Samford,4,12.7,10,8,0.56,6,13,5.7,0,2,0,268,"Salt Lake City, UT",TRUE,Kansas
2024,64,South Carolina,Oregon,6,8.6,7,5,0.58,71,11,8.9,4,8,0.33,73,"Pittsburgh, PA",FALSE,Oregon
2024,64,Creighton,Akron,3,16.8,8,7,0.53,25,14,4.4,0,1,0,183,"Pittsburgh, PA",TRUE,Creighton
2024,64,Texas,Colorado State,7,12.7,6,10,0.38,24,10,7.9,5,6,0.45,85,"Charlotte, NC",TRUE,Texas
2024,64,Tennessee,Saint Peter's,2,18.1,11,8,0.58,10,15,-2.2,0,1,0,254,"Charlotte, NC",TRUE,Tennessee
2024,32,UConn,Northwestern,1,22.7,19,2,0.9,13,9,10.3,7,9,0.44,33,"Brooklyn, NY",TRUE,UConn
2024,32,San Diego State,Yale,5,11.1,3,6,0.33,75,13,7.6,1,3,0.25,107,"Spokane, WA",TRUE,San Diego State
2024,32,Duquesne,Illinois,11,5.9,2,4,0.33,87,3,16.3,12,7,0.63,18,"Omaha, NE",FALSE,Illinois
2024,32,Washington State,Iowa State,7,10.1,5,5,0.5,80,2,18.2,13,7,0.65,21,"Omaha, NE",FALSE,Iowa State
