year,round,team_x,team_y,seed.x,bpi.x,qual_win.x,qual_loss.x,qual_win_perc.x,schdl_strngth.x,seed.y,bpi.y,qual_win.y,qual_loss.y,qual_win_perc.y,schdl_strngth.y,location,team_x_win,team
2019,64,Duke,North Dakota State,1,21.3,16,6,0.73,6,16,-1.5,0,3,0,165,"Columbia, SC",TRUE,Duke
2019,64,VCU,UCF,8,10,1,2,0.33,98,9,10.5,3,3,0.5,71,"Columbia, SC",FALSE,UCF
2019,64,Mississippi State,Liberty,5,12.9,6,6,0.5,30,12,7.5,3,2,0.6,204,"San Jose, CA",FALSE,Liberty
2019,64,Virginia Tech,Saint Louis,4,16.5,4,9,0.31,37,13,4.5,0,4,0,95,"San Jose, CA",TRUE,Virginia Tech
2019,64,Maryland,Belmont,6,12,10,9,0.53,24,11,9.4,3,3,0.5,147,"Jacksonville, FL",TRUE,Maryland
2019,64,LSU,Yale,3,12.7,7,5,0.58,39,14,6.4,0,2,0,152,"Jacksonville, FL",TRUE,LSU
2019,64,Louisville,Minnesota,7,13.4,6,11,0.35,10,10,8.1,9,11,0.45,13,"Des Moines, IA",FALSE,Minnesota
2019,64,Michigan State,Bradley,2,19.8,19,6,0.76,1,15,-0.4,1,1,0.5,226,"Des Moines, IA",TRUE,Michigan State
2019,64,Gonzaga,Fairleigh Dickinson,1,23.1,6,4,0.6,74,16,-1.5,0,1,0,318,"Salt Lake City, UT",TRUE,Gonzaga
2019,64,Syracuse,Baylor,8,10.5,4,11,0.27,33,9,10.3,9,9,0.5,27,"Salt Lake City, UT",FALSE,Baylor
2019,64,Marquette,Murray State,5,11.5,6,5,0.55,59,12,9,2,3,0.4,193,"Hartford, CT",FALSE,Murray State
2019,64,Florida State,Vermont,4,14.6,12,6,0.67,19,13,7.9,0,4,0,220,"Hartford, CT",TRUE,Florida State
2019,64,Buffalo,Arizona State,6,12.6,1,2,0.33,100,11,7.4,4,4,0.5,70,"Tulsa, OK",TRUE,Buffalo
2019,64,Texas Tech,Northern Kentucky,3,18.8,15,6,0.71,22,14,5,0,3,0,254,"Tulsa, OK",TRUE,Texas Tech
2019,64,Nevada,Florida,7,12.9,1,2,0.33,121,10,11.6,3,13,0.19,15,"Des Moines, IA",FALSE,Florida
2019,64,Michigan,Montana,2,17.8,13,7,0.65,17,15,3,0,2,0,263,"Des Moines, IA",TRUE,Michigan
2019,64,Virginia,Gardner-Webb,1,23.2,18,3,0.86,11,16,2,0,3,0,205,"Columbia, SC",TRUE,Virginia
2019,64,Ole Miss,Oklahoma,8,8.7,4,8,0.33,50,9,10.6,7,12,0.37,7,"Columbia, SC",FALSE,Oklahoma
2019,64,Wisconsin,Oregon,5,14.3,11,9,0.55,4,12,11.6,2,4,0.33,66,"San Jose, CA",FALSE,Oregon
2019,64,Kansas State,UC Irvine,4,12.7,11,6,0.65,32,13,5.5,2,2,0.5,213,"San Jose, CA",FALSE,UC Irvine
