year,round,team_x,team_y,seed.x,bpi.x,qual_win.x,qual_loss.x,qual_win_perc.x,schdl_strngth.x,seed.y,bpi.y,qual_win.y,qual_loss.y,qual_win_perc.y,schdl_strngth.y,location,team_x_win,team
2022,64,Gonzaga,Georgia State,1,20.5,9,4,0.69,74,16,1.4,0,2,0,212,"Portland, OR",TRUE,Gonzaga
2022,64,Boise State,Memphis,8,8,3,1,0.75,102,9,11.8,4,3,0.57,60,"Portland, OR",FALSE,Memphis
2022,64,UConn,New Mexico State,5,13.3,7,6,0.54,50,12,3.9,1,1,0.5,177,"Buffalo, NY",FALSE,New Mexico State
2022,64,Arkansas,Vermont,4,12.8,11,7,0.61,32,13,10,0,2,0,287,"Buffalo, NY",TRUE,Arkansas
2022,64,Alabama,Notre Dame,6,11.6,9,9,0.5,1,11,9.8,4,9,0.31,54,"San Diego, CA",FALSE,Notre Dame
2022,64,Texas Tech,Montana State,3,16.5,12,8,0.6,15,14,0.1,0,1,0,343,"San Diego, CA",TRUE,Texas Tech
2022,64,Michigan State,Davidson,7,10.3,7,10,0.41,8,10,9.1,1,3,0.25,115,"Greenville, SC",TRUE,Michigan State
2022,64,Duke,Cal State Fullerton,2,16.8,11,5,0.69,38,15,-0.4,0,2,0,281,"Greenville, SC",TRUE,Duke
2022,64,Baylor,Norfolk State,1,17.9,10,7,0.59,14,16,1,0,2,0,341,"Fort Worth, TX",TRUE,Baylor
2022,64,North Carolina,Marquette,8,13.3,7,9,0.44,19,9,8,8,7,0.53,27,"Fort Worth, TX",TRUE,North Carolina
2022,64,Saint Mary's,Indiana,5,11.8,5,5,0.5,75,12,10,6,10,0.38,31,"Portland, OR",TRUE,Saint Mary's
2022,64,UCLA,Akron,4,16.2,5,5,0.5,53,13,4.2,0,2,0,253,"Portland, OR",TRUE,UCLA
2022,64,Texas,Virginia Tech,6,13.9,8,10,0.44,13,11,13.2,5,9,0.36,46,"Milwaukee, WI",TRUE,Texas
2022,64,Purdue,Yale,3,16.4,11,6,0.65,26,14,0.7,0,5,0,152,"Milwaukee, WI",TRUE,Purdue
2022,64,Murray State,San Francisco,7,10.3,2,1,0.67,229,10,10.6,1,7,0.13,91,"Indianapolis, IN",TRUE,Murray State
2022,64,Kentucky,Saint Peter's,2,17.7,10,7,0.59,22,15,4.8,3,3,0.5,116,"Indianapolis, IN",FALSE,Saint Peter's
2022,64,Arizona,Wright State,1,17.6,7,3,0.7,69,16,0.8,0,2,0,291,"San Diego, CA",TRUE,Arizona
2022,64,Seton Hall,TCU,8,9.6,6,8,0.43,39,9,10.5,9,9,0.5,4,"San Diego, CA",FALSE,TCU
2022,64,Houston,UAB,5,19.8,5,5,0.5,71,12,9.2,0,2,0,157,"Pittsburgh, PA",TRUE,Houston
2022,64,Illinois,Chattanooga,4,13.9,9,6,0.6,16,13,8,0,2,0,138,"Pittsburgh, PA",TRUE,Illinois
2022,64,Colorado State,Michigan,6,6.4,3,3,0.5,107,11,11.4,7,12,0.37,2,"Indianapolis, IN",FALSE,Michigan
2022,64,Tennessee,Longwood,3,18,12,8,0.6,5,14,1.8,0,2,0,330,"Indianapolis, IN",TRUE,Tennessee
2022,64,Ohio State,Loyola (IL),7,11.5,8,8,0.5,18,10,11.2,1,3,0.25,110,"Pittsburgh, PA",TRUE,Ohio State
2022,64,Villanova,Delaware,2,17.6,15,5,0.75,10,15,1.1,0,1,0,181,"Pittsburgh, PA",TRUE,Villanova
2022,64,Kansas,Texas Southern,1,17.6,16,6,0.73,9,16,-0.4,1,2,0.33,205,"Fort Worth, TX",TRUE,Kansas
2022,64,San Diego State,Creighton,8,10.6,1,2,0.33,92,9,7.8,7,8,0.47,37,"Fort Worth, TX",FALSE,Creighton
