"year","round","team_x","team_y","diff_seed","diff_bpi","diff_qual_win","diff_qual_loss","diff_qual_win_perc","diff_schdl_strength","diff_dist","location","team_x_win"
2025,64,"Auburn","Alabama State",0,1.03002309468822,1,0.619047619047619,0.909090909090909,-0.00664451827242525,0.501320987753558,"Lexington, KY",TRUE
2025,64,"Louisville","Creighton",0.56,0.346420323325635,0.363636363636364,0.476190476190476,0.412121212121212,0.569767441860465,0.387260217256927,"Lexington, KY",TRUE
2025,64,"Michigan","UC San Diego",0.32,0.454965357967667,0.696969696969697,0.857142857142857,0.181818181818182,0.176079734219269,0.563574646916597,"Denver, CO",TRUE
2025,64,"Texas A&M","Yale",0.24,0.533487297921478,0.787878787878788,0.857142857142857,0.793939393939394,0.29734219269103,0.329596264080719,"Denver, CO",TRUE
2025,64,"Ole Miss","North Carolina",0.4,0.325635103926097,0.636363636363636,0.476190476190476,0.606060606060606,0.554817275747508,0.490991689751453,"Milwaukee, WI",TRUE
2025,64,"Iowa State","Lipscomb",0.16,0.704387990762125,0.636363636363636,0.714285714285714,0.757575757575758,0.0664451827242525,0.469474017943029,"Milwaukee, WI",TRUE
2025,64,"Marquette","New Mexico",0.48,0.475750577367206,0.515151515151515,0.80952380952381,0.333333333333333,0.426910299003322,0.288347523304323,"Cleveland, OH",TRUE
2025,64,"Michigan State","Bryant",0.08,0.732101616628176,0.787878787878788,0.666666666666667,0.884848484848485,0.0847176079734219,0.434309822140225,"Cleveland, OH",TRUE
2025,64,"Florida","Norfolk State",0,0.849884526558892,0.848484848484849,0.619047619047619,0.903030303030303,0.0631229235880399,0.572452258618934,"Raleigh, NC",TRUE
2025,64,"UConn","Oklahoma",0.56,0.473441108545035,0.454545454545455,0.285714285714286,0.527272727272727,0.536544850498339,0.402654631563917,"Raleigh, NC",TRUE
2025,64,"Memphis","Colorado State",0.32,0.378752886836028,0.424242424242424,0.380952380952381,0.557575757575758,0.533222591362126,0.686070917734972,"Seattle, WA",TRUE
2025,64,"Maryland","Grand Canyon",0.24,0.607390300230947,0.666666666666667,0.80952380952381,0.751515151515152,0.244186046511628,0.752909878680079,"Seattle, WA",TRUE
2025,64,"Missouri","Drake",0.4,0.501154734411085,0.696969696969697,1,0.715151515151515,0.418604651162791,0.496916967686836,"Wichita, KS",TRUE
2025,64,"Texas Tech","UNC Wilmington",0.16,0.699769053117783,0.636363636363636,0.714285714285714,0.781818181818182,0.167774086378738,0.358868568096915,"Wichita, KS",TRUE
2025,64,"Kansas","Arkansas",0.48,0.480369515011547,0.393939393939394,0.428571428571429,0.436363636363636,0.481727574750831,0.503719988290914,"Providence, RI",TRUE
2025,64,"St. John's","Omaha",0.08,0.81986143187067,0.757575757575758,0.666666666666667,0.872727272727273,0.20265780730897,0.278659876007694,"Providence, RI",TRUE
2025,64,"Duke","Mount St. Mary's",0,1.03926096997691,0.727272727272727,0.619047619047619,0.896969696969697,0.0880398671096345,0.454160838715538,"Raleigh, NC",TRUE
2025,64,"Mississippi State","Baylor",0.56,0.297921478060046,0.515151515151515,0.476190476190476,0.515151515151515,0.549833887043189,0.404874419671077,"Raleigh, NC",TRUE
2025,64,"Oregon","Liberty",0.32,0.517321016166282,0.606060606060606,0.857142857142857,0.709090909090909,0.245847176079734,0.0965662213409026,"Seattle, WA",TRUE
2025,64,"Arizona","Akron",0.24,0.706697459584296,0.666666666666667,0.952380952380952,0.696969696969697,0.102990033222591,0.341625665209194,"Seattle, WA",TRUE
2025,64,"Brigham Young","VCU",0.4,0.401847575057737,0.606060606060606,0.761904761904762,0.733333333333333,0.461794019933555,0.279679295036778,"Denver, CO",TRUE
2025,64,"Wisconsin","Montana",0.16,0.757505773672055,0.696969696969697,0.761904761904762,0.751515151515152,0.182724252491694,0.53926623531431,"Denver, CO",TRUE
2025,64,"Saint Mary's","Vanderbilt",0.48,0.445727482678984,0.303030303030303,0.142857142857143,0.460606060606061,0.602990033222591,0.848557041059348,"Cleveland, OH",TRUE
2025,64,"Alabama","Robert Morris",0.08,0.824480369515011,0.878787878787879,0.904761904761905,0.824242424242424,0.0431893687707641,0.618545502645378,"Cleveland, OH",TRUE
2025,64,"Houston","SIU-Edwardsville",0,1.0161662817552,0.757575757575758,0.619047619047619,0.909090909090909,-0.0431893687707641,0.537303646105675,"Wichita, KS",TRUE
2025,64,"Gonzaga","Georgia",0.56,0.484988452655889,0.333333333333333,0.19047619047619,0.43030303030303,0.588039867109635,0.588127442669219,"Wichita, KS",TRUE
2025,64,"Clemson","McNeese State",0.32,0.547344110854503,0.606060606060606,0.619047619047619,0.793939393939394,0.192691029900332,0.372537365952261,"Providence, RI",TRUE
2025,64,"Purdue","High Point",0.24,0.565819861431871,0.636363636363636,0.952380952380952,0.696969696969697,0.0498338870431894,0.547118252347852,"Providence, RI",TRUE
2025,64,"Illinois","Xavier",0.4,0.424942263279446,0.575757575757576,0.523809523809524,0.545454545454545,0.476744186046512,0.482194751109023,"Milwaukee, WI",TRUE
2025,64,"Kentucky","Troy",0.16,0.648960739030023,0.757575757575758,0.857142857142857,0.745454545454545,0.225913621262458,0.427105997120362,"Milwaukee, WI",TRUE
2025,64,"UCLA","Utah State",0.48,0.427251732101617,0.606060606060606,0.714285714285714,0.509090909090909,0.478405315614618,0.595152271201124,"Lexington, KY",TRUE
2025,64,"Tennessee","Wofford",0.08,0.787528868360277,0.848484848484849,0.761904761904762,0.854545454545454,0.284053156146179,0.484381664835647,"Lexington, KY",TRUE
