year,round,team_x,team_y,seed.x,bpi.x,qual_win.x,qual_loss.x,qual_win_perc.x,schdl_strngth.x,seed.y,bpi.y,qual_win.y,qual_loss.y,qual_win_perc.y,schdl_strngth.y,location,team_x_win,team
2014,64,Florida,Albany,1,19.2,13,3,0.81,16,16,-1,0,2,0,231,"Orlando, FL",TRUE,Florida
2014,64,Colorado,Pittsburgh,8,6.7,5,10,0.33,48,9,15.4,5,9,0.36,45,"Orlando, FL",FALSE,Pittsburgh
2014,64,VCU,Stephen F. Austin,5,13,5,5,0.5,83,12,5.5,1,1,0.5,331,"San Diego, CA",FALSE,Stephen F. Austin
2014,64,UCLA,Tulsa,4,13.8,5,5,0.5,58,13,4.2,1,6,0.14,115,"San Diego, CA",TRUE,UCLA
2014,64,Ohio State,Dayton,6,13.8,5,5,0.5,53,11,8.6,6,4,0.6,76,"Buffalo, NY",FALSE,Dayton
2014,64,Syracuse,Western Michigan,3,14.3,10,3,0.77,47,14,2.8,0,2,0,164,"Buffalo, NY",TRUE,Syracuse
2014,64,New Mexico,Stanford,7,9.1,3,3,0.5,94,10,7.4,8,8,0.5,19,"St. Louis, MO",FALSE,Stanford
2014,64,Kansas,Eastern Kentucky,2,15.8,11,5,0.69,2,15,4,0,3,0,235,"St. Louis, MO",TRUE,Kansas
2014,64,Virginia,Coastal Carolina,1,16.4,12,6,0.67,12,16,-1.8,0,2,0,293,"Raleigh, NC",TRUE,Virginia
2014,64,Memphis,George Washington,8,10,6,9,0.4,55,9,9.1,4,6,0.4,74,"Raleigh, NC",TRUE,Memphis
2014,64,Cincinnati,Harvard,5,12.1,6,7,0.46,78,12,11.8,1,2,0.33,147,"Spokane, WA",FALSE,Harvard
2014,64,Michigan State,Delaware,4,15.4,9,7,0.56,5,13,4.1,0,4,0,129,"Spokane, WA",TRUE,Michigan State
2014,64,North Carolina,Providence,6,12,9,5,0.64,17,11,8.8,6,10,0.38,23,"San Antonio, TX",TRUE,North Carolina
2014,64,Iowa State,North Carolina Central,3,12.9,9,5,0.64,7,14,6.9,0,4,0,300,"San Antonio, TX",TRUE,Iowa State
2014,64,UConn,Saint Joseph's,7,12.7,12,6,0.67,27,10,7.4,6,6,0.5,77,"Buffalo, NY",TRUE,UConn
2014,64,Villanova,Milwaukee,2,16.2,10,4,0.71,39,15,0.5,0,2,0,149,"Buffalo, NY",TRUE,Villanova
2014,64,Arizona,Weber State,1,17.7,11,4,0.73,24,16,2.4,0,2,0,273,"San Diego, CA",TRUE,Arizona
2014,64,Gonzaga,Oklahoma State,8,12.8,2,3,0.4,98,9,14.4,3,10,0.23,38,"San Diego, CA",TRUE,Gonzaga
2014,64,Oklahoma,North Dakota State,5,9.5,5,7,0.42,31,12,9.2,1,2,0.33,143,"Spokane, WA",FALSE,North Dakota State
2014,64,San Diego State,New Mexico State,4,13.3,4,4,0.5,87,13,7,1,4,0.2,195,"Spokane, WA",TRUE,San Diego State
2014,64,Baylor,Nebraska,6,11,7,8,0.47,28,11,5.7,3,9,0.25,13,"San Antonio, TX",TRUE,Baylor
2014,64,Creighton,Louisiana,3,14.8,8,8,0.5,35,14,3.1,1,4,0.2,155,"San Antonio, TX",TRUE,Creighton
2014,64,Oregon,Brigham Young,7,11.4,5,5,0.5,62,10,7.6,1,8,0.11,89,"Milwaukee, WI",TRUE,Oregon
2014,64,Wisconsin,American University,2,15.8,11,4,0.73,3,15,1.6,0,2,0,211,"Milwaukee, WI",TRUE,Wisconsin
2014,64,Wichita State,Cal Poly,1,14.6,2,1,0.67,154,16,-2.1,0,4,0,112,"St. Louis, MO",TRUE,Wichita State
2014,64,Kentucky,Kansas State,8,14.9,7,8,0.47,4,9,8.4,6,9,0.4,42,"St. Louis, MO",TRUE,Kentucky
2014,64,Saint Louis,NC State,5,9.9,4,5,0.44,92,12,6.2,6,10,0.38,32,"Orlando, FL",TRUE,Saint Louis
2014,64,Louisville,Manhattan,4,20.1,7,6,0.54,95,13,6.9,0,2,0,168,"Orlando, FL",TRUE,Louisville
2014,64,Massachusetts,Tennessee,6,9.1,5,5,0.5,72,11,14.5,5,7,0.42,34,"Raleigh, NC",FALSE,Tennessee
2014,64,Duke,Mercer,3,18.8,9,6,0.6,22,14,6.9,1,2,0.33,218,"Raleigh, NC",FALSE,Mercer
2014,64,Texas,Arizona State,7,8.3,7,8,0.47,21,10,10.1,3,5,0.38,65,"Milwaukee, WI",TRUE,Texas
2014,64,Michigan,Wofford,2,15.7,8,7,0.53,1,15,-0.4,0,3,0,225,"Milwaukee, WI",TRUE,Michigan
2014,32,Florida,Pittsburgh,1,19.2,13,3,0.81,16,9,15.4,5,9,0.36,45,"Orlando, FL",TRUE,Florida
2014,32,Stephen F. Austin,UCLA,12,5.5,1,1,0.5,331,4,13.8,5,5,0.5,58,"San Diego, CA",FALSE,UCLA
2014,32,Dayton,Syracuse,11,8.6,6,4,0.6,76,3,14.3,10,3,0.77,47,"Buffalo, NY",TRUE,Dayton
2014,32,Stanford,Kansas,10,7.4,8,8,0.5,19,2,15.8,11,5,0.69,2,"St. Louis, MO",TRUE,Stanford
2014,32,Virginia,Memphis,1,16.4,12,6,0.67,12,8,10,6,9,0.4,55,"Raleigh, NC",TRUE,Virginia
2014,32,Harvard,Michigan State,12,11.8,1,2,0.33,147,4,15.4,9,7,0.56,5,"Spokane, WA",FALSE,Michigan State
2014,32,North Carolina,Iowa State,6,12,9,5,0.64,17,3,12.9,9,5,0.64,7,"San Antonio, TX",FALSE,Iowa State
2014,32,UConn,Villanova,7,12.7,12,6,0.67,27,2,16.2,10,4,0.71,39,"Buffalo, NY",TRUE,UConn
2014,32,Arizona,Gonzaga,1,17.7,11,4,0.73,24,8,12.8,2,3,0.4,98,"San Diego, CA",TRUE,Arizona
2014,32,North Dakota State,San Diego State,12,9.2,1,2,0.33,143,4,13.3,4,4,0.5,87,"Spokane, WA",FALSE,San Diego State
2014,32,Baylor,Creighton,6,11,7,8,0.47,28,3,14.8,8,8,0.5,35,"San Antonio, TX",TRUE,Baylor
2014,32,Oregon,Wisconsin,7,11.4,5,5,0.5,62,2,15.8,11,4,0.73,3,"Milwaukee, WI",FALSE,Wisconsin
2014,32,Wichita State,Kentucky,1,14.6,2,1,0.67,154,8,14.9,7,8,0.47,4,"St. Louis, MO",FALSE,Kentucky
2014,32,Saint Louis,Louisville,5,9.9,4,5,0.44,92,4,20.1,7,6,0.54,95,"Orlando, FL",FALSE,Louisville
2014,32,Tennessee,Mercer,11,14.5,5,7,0.42,34,14,6.9,1,2,0.33,218,"Raleigh, NC",TRUE,Tennessee
2014,32,Texas,Michigan,7,8.3,7,8,0.47,21,2,15.7,8,7,0.53,1,"Milwaukee, WI",FALSE,Michigan
2014,16,Florida,UCLA,1,19.2,13,3,0.81,16,4,13.8,5,5,0.5,58,"Memphis, TN",TRUE,Florida
2014,16,Dayton,Stanford,11,8.6,6,4,0.6,76,10,7.4,8,8,0.5,19,"Memphis, TN",TRUE,Dayton
2014,16,Virginia,Michigan State,1,16.4,12,6,0.67,12,4,15.4,9,7,0.56,5,"New York, NY",FALSE,Michigan State
2014,16,Iowa State,UConn,3,12.9,9,5,0.64,7,7,12.7,12,6,0.67,27,"New York, NY",FALSE,UConn
2014,16,Arizona,San Diego State,1,17.7,11,4,0.73,24,4,13.3,4,4,0.5,87,"Anaheim, CA",TRUE,Arizona
2014,16,Baylor,Wisconsin,6,11,7,8,0.47,28,2,15.8,11,4,0.73,3,"Anaheim, CA",FALSE,Wisconsin
2014,16,Kentucky,Louisville,8,14.9,7,8,0.47,4,4,20.1,7,6,0.54,95,"Indianapolis, IN",TRUE,Kentucky
2014,16,Tennessee,Michigan,11,14.5,5,7,0.42,34,2,15.7,8,7,0.53,1,"Indianapolis, IN",FALSE,Michigan
2014,8,Florida,Dayton,1,19.2,13,3,0.81,16,11,8.6,6,4,0.6,76,"Memphis, TN",TRUE,Florida
2014,8,Michigan State,UConn,4,15.4,9,7,0.56,5,7,12.7,12,6,0.67,27,"New York, NY",FALSE,UConn
2014,8,Arizona,Wisconsin,1,17.7,11,4,0.73,24,2,15.8,11,4,0.73,3,"Anaheim, CA",FALSE,Wisconsin
2014,8,Kentucky,Michigan,8,14.9,7,8,0.47,4,2,15.7,8,7,0.53,1,"Indianapolis, IN",TRUE,Kentucky
2014,4,Florida,UConn,1,19.2,13,3,0.81,16,7,12.7,12,6,0.67,27,"Arlington, TX",FALSE,UConn
2014,4,Wisconsin,Kentucky,2,15.8,11,4,0.73,3,8,14.9,7,8,0.47,4,"Arlington, TX",FALSE,Kentucky
2014,2,UConn,Kentucky,7,12.7,12,6,0.67,27,8,14.9,7,8,0.47,4,"Arlington, TX",TRUE,UConn
